stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08426] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08427] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08428] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08429] added dtor for sample_instance 02C2A5F8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08430] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08431] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08432] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08434] added dtor for sample_instance 02C2A058, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08435] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08437] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08438] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08439] added dtor for sample_instance 02C2A328, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08440] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08441] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08443] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08444] added dtor for sample_instance 02C2A148, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08445] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08446] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08447] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08449] added dtor for sample_instance 02C2AAA8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08450] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08451] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08452] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08453] added dtor for sample_instance 02C2A238, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08455] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08456] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08457] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08458] added dtor for sample_instance 02C2A508, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08460] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08461] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08462] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08463] added dtor for sample_instance 02C2A6E8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08465] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08466] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08467] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08468] added dtor for sample_instance 02C2A7D8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08470] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08471] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08472] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08473] added dtor for sample_instance 02C2AB98, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08474] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08476] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08477] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08478] added dtor for sample_instance 02C2B9A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08480] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08481] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08482] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08486] added dtor for sample_instance 02C2C498, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08488] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08490] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08491] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08492] added dtor for sample_instance 02C2DA28, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08493] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08494] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08495] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08496] added dtor for sample_instance 02C2DB18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08497] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08498] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08499] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08500] added dtor for sample_instance 02C2C3A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08501] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08502] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08503] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08505] added dtor for sample_instance 02C2C768, func 61DBB8F3
